command_id,sequence_number,message_id,originator_addr,recipient_addr,short_message,src_ip,src_port,dst_ip,dst_port,timestamp
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48082,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48124,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48124,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48120,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48120,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48122,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48122,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48136,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48136,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48150,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48150,29/06/25 08:02:34
0x00000015,2438,,,,,172.17.0.58,48078,35.200.227.177,12028,29/06/25 08:02:34
0x00000015,2438,,,,,10.51.3.123,48078,35.200.227.177,12028,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48078,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48078,29/06/25 08:02:34
0x00000015,2438,,,,,172.17.0.58,48096,35.200.227.177,12028,29/06/25 08:02:34
0x00000015,2438,,,,,10.51.3.123,48096,35.200.227.177,12028,29/06/25 08:02:34
0x00000015,2438,,,,,172.17.0.58,48108,35.200.227.177,12028,29/06/25 08:02:34
0x00000015,2438,,,,,10.51.3.123,48108,35.200.227.177,12028,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48108,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48108,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,10.51.3.123,48096,29/06/25 08:02:34
0x80000015,2438,,,,,35.200.227.177,12028,172.17.0.58,48096,29/06/25 08:02:34
0x00000015,2401,,,,,172.17.0.47,57012,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57012,35.200.227.177,14011,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57012,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57012,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57008,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57008,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57030,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57030,35.200.227.177,14011,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57008,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57008,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57030,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57030,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57044,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57044,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57062,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57062,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57060,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57052,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57052,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57060,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,56996,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,56996,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57074,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57074,35.200.227.177,14011,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57060,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57060,29/06/25 08:02:36
0x00000015,2401,,,,,172.17.0.47,57018,35.200.227.177,14011,29/06/25 08:02:36
0x00000015,2401,,,,,10.51.3.123,57018,35.200.227.177,14011,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57044,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57044,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57074,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57074,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57062,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57062,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,56996,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,56996,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57052,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57052,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,10.51.3.123,57018,29/06/25 08:02:36
0x80000015,2401,,,,,35.200.227.177,14011,172.17.0.47,57018,29/06/25 08:02:36
0x00000015,2394,,,,,172.17.0.45,57938,35.200.227.177,14010,29/06/25 08:02:39
0x00000015,2394,,,,,10.51.3.123,57938,35.200.227.177,14010,29/06/25 08:02:39
